KeyName,LnkName,KeyLastWriteTimestamp
windows fax and |1f239f501896c947,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Windows Fax and Scan.lnk,2025-07-09 15:50:30
windows media pl|61db8c35c15c8cc6,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Windows Media Player.lnk,2025-07-09 15:50:30
windows powershe|30733c7985fb9bcb,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows PowerShell\Windows PowerShell ISE.lnk,2025-07-09 15:50:57
windows powershe|317e5112ce9f4696,c:\users\client\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\TaskBar\Windows PowerShell (x86).lnk,2025-07-09 15:51:30
windows powershe|6d2a715ad3bf3395,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows PowerShell\Windows PowerShell ISE (x86).lnk,2025-07-09 15:50:56
windows powershe|a1a0f5063df7e2c8,c:\users\client\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Windows PowerShell\Windows PowerShell (x86).lnk,2025-07-09 15:51:29
windows powershe|d09c3d4ff150c489,c:\users\client\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Windows PowerShell\Windows PowerShell.lnk,2025-07-09 15:51:29
wireshark.lnk|7c784a738f3dcbf0,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Wireshark.lnk,2025-07-09 15:50:59
wireshark.lnk|b0fa713ce33a53ca,c:\users\client\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\TaskBar\Wireshark.lnk,2025-07-09 15:51:30
word.lnk|a5231da2ea1070e5,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Word.lnk,2025-07-09 15:51:05
wordpad.lnk|b071df8746c2a535,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Wordpad.lnk,2025-07-09 15:50:30
