USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         559  0.0  0.4  15440  9380 ?        Ss   09:30   0:03 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
root        1022  0.0  0.5  17740 10900 ?        Ss   09:31   0:00  \_ sshd: pun1sh3r [priv]
pun1sh3r    1048  0.0  0.3  18000  6944 ?        S    09:31   0:04  |   \_ sshd: pun1sh3r@pts/0
pun1sh3r    1049  0.0  0.2   9604  5740 pts/0    Ss   09:31   0:00  |       \_ -bash
root        3408  0.0  0.2   8996  4216 pts/0    S    15:48   0:00  |           \_ su root
root        3409  0.0  0.2   7304  4056 pts/0    S    15:48   0:00  |               \_ bash
root        3918 10.0  0.1   6936  3252 pts/0    S+   16:05   0:00  |                   \_ /bin/bash ./forensic.sh
root        3926  100  0.2  11220  4432 pts/0    R+   16:05   0:00  |                       \_ ps auxfww
root        3262  0.0  0.5  17740 10884 ?        Ss   15:46   0:00  \_ sshd: pun1sh3r [priv]
pun1sh3r    3268  0.0  0.3  18000  6944 ?        S    15:46   0:00      \_ sshd: pun1sh3r@pts/1
pun1sh3r    3269  0.0  0.2   7972  4768 pts/1    Ss   15:46   0:00          \_ -bash
root        3272  0.0  0.2   8996  4220 pts/1    S    15:46   0:00              \_ su root
root        3273  0.0  0.1   7200  3956 pts/1    S    15:46   0:00                  \_ bash
tcpdump     3469  0.0  0.4  17352  8212 pts/1    S+   15:55   0:00                      \_ tcpdump -v -i ens33 -w network.pcap
root         975  0.0  0.5  18968 10640 ?        Ss   09:30   0:00 /lib/systemd/systemd --user
root         977  0.0  0.1 103056  3008 ?        S    09:30   0:00  \_ (sd-pam)
pun1sh3r    1027  0.0  0.5  19288 10996 ?        Ss   09:31   0:01 /lib/systemd/systemd --user
pun1sh3r    1028  0.0  0.1 103188  3012 ?        S    09:31   0:00  \_ (sd-pam)
root        3437  0.0  0.4 221796  8084 ?        Ssl  15:54   0:00 /usr/sbin/rsyslogd -n -iNONE
