2025-07-21 17:41:24 status half-installed zlib1g:amd64 1:1.2.13.dfsg-1
2025-07-21 17:41:24 status unpacked zlib1g:amd64 1:1.2.13.dfsg-1
2025-07-21 17:41:24 install libstdc++6:amd64 <none> 12.2.0-14+deb12u1
2025-07-21 17:41:24 status half-installed libstdc++6:amd64 12.2.0-14+deb12u1
2025-07-21 17:41:24 status unpacked libstdc++6:amd64 12.2.0-14+deb12u1
2025-07-21 17:41:24 install libzstd1:amd64 <none> 1.5.4+dfsg2-5
2025-07-21 17:41:24 status half-installed libzstd1:amd64 1.5.4+dfsg2-5
2025-07-21 17:41:24 status unpacked libzstd1:amd64 1.5.4+dfsg2-5
2025-07-21 17:41:24 install libsystemd0:amd64 <none> 252.36-1~deb12u1
2025-07-21 17:41:24 status half-installed libsystemd0:amd64 252.36-1~deb12u1
2025-07-21 17:41:24 status unpacked libsystemd0:amd64 252.36-1~deb12u1
2025-07-21 17:41:24 install libudev1:amd64 <none> 252.36-1~deb12u1
2025-07-21 17:41:24 status half-installed libudev1:amd64 252.36-1~deb12u1
2025-07-21 17:41:25 status unpacked libudev1:amd64 252.36-1~deb12u1
2025-07-21 17:41:25 install libxxhash0:amd64 <none> 0.8.1-1
2025-07-21 17:41:25 status half-installed libxxhash0:amd64 0.8.1-1
2025-07-21 17:41:25 status unpacked libxxhash0:amd64 0.8.1-1
2025-07-21 17:41:25 install libtasn1-6:amd64 <none> 4.19.0-2+deb12u1
2025-07-21 17:41:25 status half-installed libtasn1-6:amd64 4.19.0-2+deb12u1
2025-07-21 17:41:25 status unpacked libtasn1-6:amd64 4.19.0-2+deb12u1
2025-07-21 17:41:25 install libseccomp2:amd64 <none> 2.5.4-1+deb12u1
2025-07-21 17:41:25 status half-installed libseccomp2:amd64 2.5.4-1+deb12u1
2025-07-21 17:41:25 status unpacked libseccomp2:amd64 2.5.4-1+deb12u1
2025-07-21 17:41:25 install libselinux1:amd64 <none> 3.4-1+b6
2025-07-21 17:41:25 status half-installed libselinux1:amd64 3.4-1+b6
2025-07-21 17:41:25 status unpacked libselinux1:amd64 3.4-1+b6
2025-07-21 17:41:25 install tar:amd64 <none> 1.34+dfsg-1.2+deb12u1
2025-07-21 17:41:25 status half-installed tar:amd64 1.34+dfsg-1.2+deb12u1
2025-07-21 17:41:25 status unpacked tar:amd64 1.34+dfsg-1.2+deb12u1
2025-07-21 17:41:25 upgrade perl-base:amd64 5.36.0-7+deb12u2 5.36.0-7+deb12u2
2025-07-21 17:41:25 status half-configured perl-base:amd64 5.36.0-7+deb12u2
2025-07-21 17:41:25 status unpacked perl-base:amd64 5.36.0-7+deb12u2
2025-07-21 17:41:25 status half-installed perl-base:amd64 5.36.0-7+deb12u2
2025-07-21 17:41:25 status unpacked perl-base:amd64 5.36.0-7+deb12u2
2025-07-21 17:41:25 install libsemanage-common:all <none> 3.4-1
2025-07-21 17:41:25 status half-installed libsemanage-common:all 3.4-1
2025-07-21 17:41:25 status unpacked libsemanage-common:all 3.4-1
2025-07-21 17:41:25 install libsepol2:amd64 <none> 3.4-2.1
2025-07-21 17:41:25 status half-installed libsepol2:amd64 3.4-2.1
2025-07-21 17:41:25 status unpacked libsepol2:amd64 3.4-2.1
2025-07-21 17:41:25 install libsemanage2:amd64 <none> 3.4-1+b5
2025-07-21 17:41:25 status half-installed libsemanage2:amd64 3.4-1+b5
